N,Waktu_CPU_ms,Residual_CPU,Waktu_GPU_ms,Residual_GPU 
256,83.6482,0.4097
256,39.7831,nan
512,644.3658,14.4033
512,103.4166,nan
1024,5200.2214,33.5738
1024,684.0984,nan
2048,42506.4422,447.0670
2048,3539.0935,nan
4096,309941.8208,69148.6719
4096,21670.7520,nan
